type,EDI_Std_Nomenclature,d,h,b,t,ro,ri,d,A,Ix,Iy,rx,ry,Sx,Sy,Avy,Avx,J,Jstv,Jwarp,Sj,Cw,Zx,Zy,W,Am
HSS,HSS457x457x16,457.2,457.2,457.2,15.9,47.6,31.8,361.9,27400,878000000,878000000,179,179,3840000,3840000,12531,12531,1390000000,2265300,1387734700,5751680,16805280000,4490000,4490000,215.1,1.77
HSS,HSS457x457x13,457.2,457.2,457.2,12.7,38.1,25.4,381,22200,723000000,723000000,181,181,3160000,3160000,9953,9953,1130000000,1176700,1128823300,4737990,10211230000,3670000,3670000,174.3,1.79
HSS,HSS406x406x22,406.4,406.4,406.4,22.2,66.7,44.5,273,32900,793000000,793000000,155,155,3900000,3900000,15985,15985,1290000000,5277200,1284722800,5825470,18716320000,4670000,4670000,258.3,1.55
HSS,HSS406x406x19,406.4,406.4,406.4,19.1,57.2,38.1,292.1,28600,703000000,703000000,157,157,3460000,3460000,13565,13565,1130000000,3381800,1126618200,5170590,14754010000,4100000,4100000,224.5,1.56
HSS,HSS406x406x16,406.4,406.4,406.4,15.9,47.6,31.8,311.1,24200,606000000,606000000,158,158,2980000,2980000,11211,11211,965000000,1994000,963006000,4460210,10552220000,3500000,3500000,190,1.57
HSS,HSS406x406x13,406.4,406.4,406.4,12.7,38.1,25.4,330.2,19600,500000000,500000000,160,160,2460000,2460000,8861,8861,788000000,1038000,786962000,3688960,6588110000,2870000,2870000,153.9,1.58
HSS,HSS406x406x9.5,406.4,406.4,406.4,9.5,23.8,14.3,358.7,14900,388000000,388000000,161,161,1910000,1910000,6492,6492,604000000,448500,603551500,2863360,2356930000,2200000,2200000,117,1.59
HSS,HSS356x356x19,355.6,355.6,355.6,19.1,57.2,38.1,241.3,24700,457000000,457000000,136,136,2570000,2570000,11942,11942,744000000,2913500,741086500,3841720,8158600000,3080000,3080000,193.9,1.36
HSS,HSS356x356x16,355.6,355.6,355.6,15.9,47.6,31.8,260.3,20900,396000000,396000000,138,138,2230000,2230000,9851,9851,637000000,1722800,635277200,3332500,6087120000,2640000,2640000,164.1,1.37
HSS,HSS356x356x13,355.6,355.6,355.6,12.7,38.1,25.4,279.4,17000,329000000,329000000,139,139,1850000,1850000,7802,7802,522000000,899200,521100800,2770950,3944730000,2170000,2170000,133.4,1.38
HSS,HSS356x356x9.5,355.6,355.6,355.6,9.5,23.8,14.3,307.9,13000,256000000,256000000,141,141,1440000,1440000,5666,5666,401000000,389900,400610100,2162360,1480970000,1670000,1670000,102.1,1.39
HSS,HSS356x356x7.9,355.6,355.6,355.6,7.9,19.9,11.9,315.9,10900,218000000,218000000,141,141,1220000,1220000,4751,4751,338000000,227500,337772500,1834880,934180000,1410000,1410000,85.6,1.4
HSS,HSS305x305x19,304.8,304.8,304.8,19.1,57.2,38.1,190.5,20800,277000000,277000000,115,115,1820000,1820000,10381,10381,456000000,2445300,453554700,2709070,3908480000,2200000,2200000,163.3,1.15
HSS,HSS305x305x16,304.8,304.8,304.8,15.9,47.6,31.8,209.5,17700,242000000,242000000,117,117,1590000,1590000,8556,8556,392000000,1451500,390548500,2368500,3107080000,1890000,1890000,138.9,1.16
HSS,HSS305x305x13,304.8,304.8,304.8,12.7,38.1,25.4,228.6,14400,202000000,202000000,118,118,1330000,1330000,6730,6730,323000000,760500,322239500,1983940,2126070000,1560000,1560000,113,1.18
HSS,HSS305x305x9.5,304.8,304.8,304.8,9.5,23.8,14.3,257.1,11000,158000000,158000000,120,120,1040000,1040000,4844,4844,250000000,331300,249668700,1559700,854610000,1210000,1210000,86.4,1.19
HSS,HSS305x305x7.9,304.8,304.8,304.8,7.9,19.9,11.9,265.1,9270,135000000,135000000,121,121,885000,885000,4063,4063,211000000,193600,210806400,1327690,548040000,1030000,1030000,72.8,1.19
